Country ISO3,Country,Year,Domain,Metric,Value,Unit,Source,Source URL,Loaded at
AFG,Afghanistan,2022,Demographics,Population,40578842,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2022,Economics,GDP (current US$),14497243872.1337,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2023,Demographics,Population,41454761,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2023,Economics,GDP (current US$),17152234636.8715,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2024,Demographics,Population,42647492,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AFG,Afghanistan,2024,Economics,GDP (current US$),17778508875.7396,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AFG,Afghanistan,2025,Demographics,Population,43844111,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2016,Demographics,Population,29183070,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2016,Economics,GDP (current US$),60770049747.3832,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AGO,Angola,2017,Demographics,Population,30234839,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2017,Economics,GDP (current US$),85629598654.1906,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AGO,Angola,2018,Demographics,Population,31297155,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2018,Economics,GDP (current US$),90506061877.2765,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AGO,Angola,2019,Demographics,Population,32375632,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2019,Economics,GDP (current US$),81193813808.0382,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AGO,Angola,2020,Demographics,Population,33451132,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2020,Economics,GDP (current US$),58512033805.8981,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AGO,Angola,2021,Demographics,Population,34532429,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2021,Economics,GDP (current US$),78283923543.8237,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AGO,Angola,2022,Demographics,Population,35635029,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2022,Economics,GDP (current US$),128233959333.275,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AGO,Angola,2023,Demographics,Population,36749906,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2023,Economics,GDP (current US$),106042349567.303,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AGO,Angola,2024,Demographics,Population,37885849,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2024,Economics,GDP (current US$),103080538044.058,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
AGO,Angola,2025,Demographics,Population,39040039,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
AGO,Angola,2025,Economics,GDP (current US$),122174889423.635,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ALB,Albania,2016,Demographics,Population,2689469,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2016,Economics,GDP (current US$),11988668784.6628,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ALB,Albania,2017,Demographics,Population,2648285,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2017,Economics,GDP (current US$),13258268435.6048,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ALB,Albania,2018,Demographics,Population,2607733,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2018,Economics,GDP (current US$),15379508329.7568,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ALB,Albania,2019,Demographics,Population,2567801,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2019,Economics,GDP (current US$),15585111614.0376,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ALB,Albania,2020,Demographics,Population,2528480,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2020,Economics,GDP (current US$),15241458744.5927,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ALB,Albania,2021,Demographics,Population,2489762,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2021,Economics,GDP (current US$),18031989573.0294,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
ALB,Albania,2022,Demographics,Population,2451636,people,World Bank Open Data,https://data.worldbank.org/indicator/SP.POP.TOTL,2026-08-02T04:09:08.531329+00:00
ALB,Albania,2022,Economics,GDP (current US$),19017247013.8821,current US$,World Bank Open Data,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD,2026-08-02T04:09:09.383790+00:00
